安徽,anhui,""
北京,beijing
马其顿,macedonia
北马其顿,north macedonia
马拉维,malawi
马来西亚,malaysia
马达加斯加,madagascar
马尔代夫,maldives
马里,mali
马耳他,malta
马绍尔群岛,marshall islands
马提尼克岛,martinique
毛里塔尼亚,mauritania
毛里求斯,mauritius
马约特,mayotte
墨西哥,mexico
密克罗尼西亚,micronesia
摩尔多瓦,moldova
摩纳哥,monaco
蒙古,mongolia
黑山,montenegro
蒙特塞拉特,montserrat
摩洛哥,morocco
莫桑比克,mozambique
缅甸,myanmar
纳米比亚,namibia
瑙鲁,nauru
尼泊尔,nepal
荷兰,netherlands
新喀里多尼亚,new caledonia 
新西兰,new zealand
尼加拉瓜,nicaragua
尼日尔,niger
尼日利亚,nigeria
纽埃,niue
诺福克岛,norfolk island 
挪威,norway
阿曼,oman
巴基斯坦,pakistan
帕劳,palau
巴勒斯坦,palestine
巴拿马,panama
巴布亚新几内亚,papua new guinea
秘鲁,peru
菲律宾,philippines
皮特凯恩群岛,pitcairn islands 
波兰,poland
葡萄牙,portugal
波多黎各,puerto rico
卡塔尔,qatar
留尼汪岛,reunion
罗马尼亚,romania
卢旺达,rwanda
俄罗斯,russia
圣赫勒拿,saint helena 
圣基茨和尼维斯,saint kitts-nevis
圣卢西亚,saint lucia
圣文森特和格林纳丁斯,saint vincent and the grenadines 
萨尔瓦多,el salvador
萨摩亚,samoa
圣马力诺,san marino
圣多美和普林西比,sao tome and principe
沙特阿拉伯,saudi arabia
塞内加尔,senegal
塞舌尔,seychelles
塞拉利昂,sierra leone
新加坡,singapore
塞尔维亚,serbia
斯洛伐克,slovakia
斯洛文尼亚,slovenia
所罗门群岛,solomon islands
索马里,somalia
南非,south africa
西班牙,spain
斯里兰卡,sri lanka
苏丹,sudan
苏里南,suriname
斯威士兰,swaziland
瑞典,sweden
瑞士,switzerland
叙利亚,syria
塔吉克斯坦,tajikistan
坦桑尼亚,tanzania
泰国,thailand
特立尼达和多巴哥,trinidad and tobago
东帝汶,timor-leste
多哥,togo
托克劳,tokelau
汤加,tonga
突尼斯,tunisia
土耳其,turkey
土库曼斯坦,turkmenistan
图瓦卢,tuvalu
乌干达,uganda
乌克兰,ukraine
阿联酋,united arab
英国,uk
美国,us
乌拉圭,uruguay
乌兹别克斯坦,uzbekistan
瓦努阿图,vanuatu
梵蒂冈,vatican city
委内瑞拉,venezuela
越南,vietnam
瓦利斯群岛和富图纳群岛,wallis and futuna 
西撒哈拉,western sahara 
也门,yemen
南斯拉夫,yugoslavia
赞比亚,zambia
津巴布韦,zimbabwe
钻石公主号邮轮,diamond princess
