Cases,Date,State,County, ,Reference
NO.45550,2020/3/23,PA,Northampton,Northampton County Coroner Zachary Lysek confirmed the local death. saying the person died at home Monday from COVID-19. [Death],www.lehighvalleylive.com 
NO.45551,2020/3/23,KY,Fayette,One woman from Lexington died. raising the Kentucky death toll from COVID-19 to four. She was in her 80s and had underlying health conditions. according to Lexington health officials. [Death],www.kentucky.com 
NO.45552,2020/3/23,WA,Snohomish,By 3/23 2PM. the Snohomish County Official Site reported 1 more death case. Man in his 80s with underlying health conditions. died 3/20/20 [Death],www.snohd.org 
NO.45553,2020/3/23,WA,King,A woman in his 70s. who died on 3/21 [Death],www.kingcounty.gov 
NO.45554,2020/3/23,WA,King,A man in his 70s. who died on 3/21 at EvergreenHealth [Death],www.kingcounty.gov 
NO.45555,2020/3/23,WA,King,A man in his 80s who died on 3/22 at EvergreenHealth [Death],www.kingcounty.gov 
NO.45556,2020/3/23,WA,King,A man in his 80s. who died on 3/22 at Swedish Issaquah [Death],www.kingcounty.gov 
NO.45557,2020/3/23,WA,King,A woman in her 70s. who died on 3/22 [Death],www.kingcounty.gov 
NO.45558,2020/3/23,WA,King,A woman in her 90s. who died on 3/22 [Death],www.kingcounty.gov 
NO.45559,2020/3/23,WA,King,A man in his 70s. who died on 3/22 [Death],www.kingcounty.gov 
NO.45560,2020/3/23,WA,King,A woman in her 90s. who died on 3/22 [Death],www.kingcounty.gov 
NO.45561,2020/3/23,WA,King,A woman in her 60s. who died on 3/22 at Swedish Cherry Hill [Death],www.kingcounty.gov 
NO.45562,2020/3/23,WA,King,A man in his 60s. who died on 3/21 at Swedish Cherry Hill [Death],www.kingcounty.gov 
NO.45563,2020/3/23,WA,King,A man in his 60s who died on 3/22 at University of Washington Medical Center [Death],www.kingcounty.gov 
NO.45564,2020/3/23,WA,King,A man in his 60s who died on 3/22 at Virginia Mason [Death],www.kingcounty.gov 
NO.45565,2020/3/23,FL,Clay,Clay County 2nd Death. no more detail at this moment [Death],fdoh.maps.arcgis.com 
NO.45566,2020/3/23,FL,Palm Beach,The new deaths include two people in Palm Beach. bringing that county s death toll to 3 [Death],www.nbcmiami.com 
NO.45567,2020/3/23,WA,Benton,3/23. One more death was confirmed in Benton County. [This is case is Epidemiological Linked. not included in the WA Official report yet]. [Death],bfhd.wa.gov 
NO.45568,2020/3/23,CA,Alameda,Alameda County health officials reported the county s first coronavirus-related death on Monday. The person was elderly and had underlying health conditions. according to the Alameda County Public Health Department. [Death],www.kron4.com 
NO.45569,2020/3/23,WA,Skagit,The first death case was confirmed by Skagit County. [Death],www.doh.wa.gov 
NO.45570,2020/3/23,VA,Virginia Beach,The Virginia Department of Health reports that a man in his 70s in Virginia Beach has died from the coronavirus on March 23. [Death],wset.com 
NO.45571,2020/3/23,CA,Los Angeles,3/23 Long Beach confirmed its first COVID-19 fatality. The patient was a woman in her 50s with underlying health problems. [Death],www.latimes.com 
NO.45572,2020/3/23,GA,Unassigned,By 3/23. total 26 death in GA. [Death],dph.georgia.gov 
NO.45573,2020/3/23,WA,Clark,by 3/23 Clark County has 4 death. no more detail at this moment. [Death],www.doh.wa.gov 
NO.45574,2020/3/23,CA,Santa Clara,Three new deaths are reported in Santa Clara. one is a 80s male. [Death],www.kron4.com 
NO.45575,2020/3/23,CA,Santa Clara,Three new deaths are reported in Santa Clara. one is a 70s male. [Death],www.kron4.com 
NO.45576,2020/3/23,CA,Santa Clara,Three new deaths are reported in Santa Clara. one is a 60s male. [Death],www.kron4.com 
NO.45577,2020/3/23,NY,Unassigned,By 3/23 10 13PM EST. New York reported 183 total deaths in the state. [Death],www.nbcnewyork.com 
NO.45578,2020/3/23,AZ,Pima,First death in Pima County AZ. Woman in 50s with pre existing conditions. Total deaths in Arizona now 3. [Death],www.azfamily.com 
NO.45579,2020/3/23,NY,Madison,A Madison County resident has become the first Central New Yorker to die of the coronavirus. The victim was an elderly person with underlying health issues. No details. including when the person died. were available. [Death],www.syracuse.com 
NO.45580,2020/3/23,MO,Greene,The first death in Greene County due to COVID-19 happened today and it is leading to talk of stricter rules for everyone in Springfield. The patient that died today was a woman in her 80 s. She was one of the four confirmed cases from the assisted care facility. Morningside of Springfield in East Springfield. [Death],www.springfieldmo.gov 
NO.45581,2020/3/23,NY,Rockland,Rockland County confirmed 5 death. One on Sunday and one on Monday. One was 79 and the other 66. county health officials said. Both had other significant health problems. [Death],patch.com 
NO.45582,2020/3/23,PA,Lackawanna,A 79-year-old man in Lackawanna County died at Geisinger Community Medical Center Monday morning from COVID-19 complications. [Death],www.pahomepage.com 
NO.45583,2020/3/23,MI,Washtenaw,As of 3/23 at 12 00 pm. Washtenaw County. MI reported one death. Three deaths in total in the County. [Death],www.washtenaw.org 
NO.45584,2020/3/23,KS,Riley,3/23 KS total 82 cases. The Pottawatomie case was labeled as Riley County s on 3/22. The person was determined to be a resident of Pottawatomie County and the chart is now reflective of that change. [Death],khap2.kdhe.state.ks.us 
NO.45585-45586,2020/3/23,NC,Randolph,Two Randolph County residents have tested positive for the novel coronavirus. according to Randolph County Public Health. The first case of coronavirus in Randolph County traveled outside of North Carolina. but within the continental United States within the last two weeks. The information of the other patient is unknown by now.,www.wfmynews2.com 
NO.45587,2020/3/23,IL,Kankakee,3/26 IL total 1285. Kankakee 3 cases.,www.dph.illinois.gov 
NO.45588,2020/3/23,IL,LaSalle,3/26 IL total 1285. LaSalle 2 cases.,www.dph.illinois.gov 
NO.45589-45591,2020/3/23,NC,Pitt,NC Pitt County has confirmed 6 cases in total as of Monday.,www.wnct.com 
NO.45592,2020/3/23,IL,McLean,3/26 IL total 1285. McLean 7 cases.,www.dph.illinois.gov 
NO.45593,2020/3/23,IL,Monroe,3/26 IL total 1285. Monroe 1st case.,www.dph.illinois.gov 
NO.45594,2020/3/23,IL,St. Clair,3/26 IL total 1285. St. Clair 4 cases.,www.dph.illinois.gov 
NO.45595-45629,2020/3/23,CA,Sacramento,3/23 Sacramento County 35 new cases. making total 88 case.,www.saccounty.net 
NO.45630,2020/3/23,MN,Sherburne,The first case was confirmed by Sherburne County.,www.health.state.mn.us 
NO.45631-45757,2020/3/23,CA,Los Angeles,3/23 The Los Angeles County Department of Public Health (Public Health) has confirmed the total number of positive cases up to 536. and 7 deaths.,www.foxla.com 
NO.45758,2020/3/23,TX,Milam,Authorities in Milam County have confirmed a second COVID-19 case bringing the total number of positive cases in the Brazos Valley to 17. The person was tested last week and the results were just returned on Monday. County officials said the person remained in the hospital and health officials were reaching out to close contacts.,www.kbtx.com 
NO.45759,2020/3/23,NC,Hertford,A resident in Hertford County has tested positive for COVID-19. ARHS announced early Monday afternoon. ARHS Director Battle Betts Jr. was notified after lab tests confirmed the results. The unnamed individual is in isolation. and health officials are investigating the number of people who may have had contact with the person.,www.dailyadvance.com 
NO.45760,2020/3/23,TN,Claiborne,3/23 Claiborne 1 st case.,www.tn.gov 
NO.45761-45769,2020/3/23,WI,Dane,As of March 23. there are 70 people who have tested positive for coronavirus (COVID-19) in Dane County.While we typically report the same number as what the Wisconsin Department of Health Services lists on their website. today we had more real-time information to share.,www.publichealthmdc.com 
NO.45770,2020/3/23,TN,Dekalb,3/23 Dekalb 1 st case.,www.tn.gov 
NO.45771,2020/3/23,TN,Dickson,3/23 Dickson 5 cases.,www.tn.gov 
NO.45772-45775,2020/3/23,CA,Tulare,3/23 Tulare County health officials stated Monday afternoon that four more case were add to the total number of patients who tested positive for COVID-19. Tulare County. with a population of 440.000 people. has 16 cases since March 11.,www.visaliatimesdelta.com 
NO.45776-45777,2020/3/23,TN,Greene,3/23 Greene 4 cases.,www.tn.gov 
NO.45778,2020/3/23,TN,Hamblen,3/23 Hamblen 3 cases.,www.tn.gov 
NO.45779-45782,2020/3/23,TN,Hamilton,3/23 Hamilton 12 cases.<Note the number is from TN.gov. while the county is still reported 8 cases on twitter. will follow up if the number changes>,www.tn.gov 
NO.45783,2020/3/23,CO,Mesa,The fifth positive test result for COVID-19 has been reported by Mesa County Public Health. More information to come.,www.gjsentinel.com 
NO.45784,2020/3/23,TN,Hardin,3/23 Hardin 1 st case.,www.tn.gov 
NO.45785-45791,2020/3/23,TN,Knox,3/23 Knox 12 cases.,www.tn.gov 
NO.45792,2020/3/23,TN,Lincoln,3/23 Lincoln 1 st case.,www.tn.gov 
NO.45793-45796,2020/3/23,TN,Maury,3/23 Maury 6 cases.,www.tn.gov 
NO.45797-45798,2020/3/23,NC,Iredell,NC State Iredell County has in total 6 cases of CODIV-19 confirmed by 3/23. with 2 new cases added.,www.statesville.com 
NO.45799,2020/3/23,TN,McMinn,3/23 McMinn 2 cases.,www.tn.gov 
NO.45800,2020/3/23,TN,Perry,3/23 Perry 2 cases.,www.tn.gov 
NO.45801-45803,2020/3/23,TN,Robertson,3/23 Robertson 6 cases.,www.tn.gov 
NO.45804,2020/3/23,TN,Rutherford,3/23 Rutherford 9 cases.,www.tn.gov 
NO.45805-45831,2020/3/23,TN,Shelby,3/23 Shelby 93 cases.,www.tn.gov 
NO.45832-45835,2020/3/23,NC,Buncombe,3/23 4 new cases in Buncombe. total now 8.,www.citizen-times.com 
NO.45836-45837,2020/3/23,MO,Unassigned,3/23 Missouri COVID-19 cases surge to 183. Placeholder,www.kansascity.com 
NO.45838,2020/3/23,TN,Sullivan,3/23 Sullivan 2 cases.,www.tn.gov 
NO.45839-45850,2020/3/23,TN,Sumner,3/23 Sumner 34 cases.,www.tn.gov 
NO.45851,2020/3/23,TN,Tipton,3/23 Tipton 6 cases.,www.tn.gov 
NO.45852,2020/3/23,TN,Weakley,First new case in Weakley County. TN.,www.tn.gov 
NO.45853-45856,2020/3/23,TN,Washington,3/23 Washington 6 cases.,www.tn.gov 
NO.45857-45861,2020/3/23,TN,Williamson,3/23 Williamson 53 cases.,www.tn.gov 
NO.45862-45865,2020/3/23,TN,Wilson,3/23 Wilson 6 cases.,www.tn.gov 
NO.45866-45889,2020/3/23,TN,Unassigned,3/23 Unknown 54 cases.,www.tn.gov 
NO.45890,2020/3/23,NC,Jackson,The Jackson County Department of Public Health has confirmed the county s first positive case of COVID-19. On Monday. March 23. 2020. authorities confirmed a part-time county resident had tested positive and is being monitored by health officials.,wlos.com 
NO.45891-45897,2020/3/23,TN,Out-of-state,Out of TN County has in total 89 cases of CODIV-19 confirmed,www.tn.gov 
NO.45898,2020/3/23,NC,Transylvania,3/23 The Transylvania County Health Department confirmed their first positive test result.,wlos.com 
NO.45899,2020/3/23,TN,Jefferson,3/23 Jefferson 3 cases.,www.tn.gov 
NO.45900,2020/3/23,TN,Blount,3/23 Blount 2 cases.,www.tn.gov 
NO.45901-45962,2020/3/23,CT,Fairfield,CT reports 88 new cases on March 23. bringing total number to 415. Fairfield County has 270 confirmed COVID-19 cases now.,www.nbcconnecticut.com 
NO.45963,2020/3/23,TX,Bell,One of the 16 confirmed cases of COVID-19 in Bell County involves a Fort Hood solder who s male. ranges in age from 30 to 39. lives in the county and is assigned to the 3rd Cavalry regiment. He is self-quarantined at his off-post residence.,www.kwtx.com 
NO.45964-45970,2020/3/23,CT,Hartford,CT reports 88 new cases on March 23. bringing total number to 415. Hartford County has 61 confirmed COVID-19 cases now.,www.nbcconnecticut.com 
NO.45971,2020/3/23,CT,Litchfield,CT reports 88 new cases on March 23. bringing total number to 415. Litchfield County has 13 confirmed COVID-19 cases now.,www.nbcconnecticut.com 
NO.45972-45973,2020/3/23,CT,Middlesex,CT reports 88 new cases on March 23. bringing total number to 415. Middlesex County has 8 confirmed COVID-19 cases now.,www.nbcconnecticut.com 
NO.45974,2020/3/23,TX,Bell,Another of the Bell County residents who have confirmed cases of the virus is a military retiree who s male. between the ages of 40 and 49. and lives in Killeen. He. too. is self-quarantined at his home.,www.kwtx.com 
NO.45975-45986,2020/3/23,CT,New Haven,CT reports 88 new cases on March 23. bringing total number to 415. New Haven County has 41 confirmed COVID-19 cases now.,www.nbcconnecticut.com 
NO.45987,2020/3/23,CT,New London,CT reports 88 new cases on March 23. bringing total number to 415. New London County has 4 confirmed COVID-19 cases now.,www.nbcconnecticut.com 
NO.45988-45989,2020/3/23,CT,Tolland,CT reports 88 new cases on March 23. bringing total number to 415. Tolland County has 16 confirmed COVID-19 cases now.,www.nbcconnecticut.com 
NO.45990,2020/3/23,CT,Windham,CT reports 88 new cases on March 23. bringing total number to 415. Windham County has 2 confirmed COVID-19 cases now.,www.nbcconnecticut.com 
NO.45991-45994,2020/3/23,TX,Bell,The number of confirmed COVID-19 cases in Bell County increased to 16 Monday afternoon.,www.kwtx.com 
NO.45995,2020/3/23,NC,Wilson,NC State Wilson County has in total 4 cases of CODIV-19 confirmed by 3/23. with 1 new cases added. The case is also travel-related. and the patient is at home quarantined.,wilsontimes.com 
NO.45996,2020/3/23,TX,Harris,A 50-59 year-old man. who lives in the Northwest quadrant of Harris County- (travel-related),www.readyharris.org 
NO.45997,2020/3/23,TX,Harris,A 60-69 year-old woman. who lives in the Northwest quadrant of Harris County- (community spread),www.readyharris.org 
NO.45998,2020/3/23,TX,Harris,A 40-49 year-old woman. who lives in the Northwest quadrant of Harris County- (recovered),www.readyharris.org 
NO.45999-46001,2020/3/23,CA,Monterey,3/23. 3 more cases confirmed in Monterey . CA.. which makes 14 in total in this county.,www.ksbw.com 
NO.46002-46008,2020/3/23,PA,Montgomery,3/23 Montgomery County report total 136 cases.,data-montcopa.opendata.arcgis.com 
NO.46009,2020/3/23,CA,San Benito,3/23. 1 more case confirmed in San Benito. CA. which make 6 cases in total in this county.,www.ksbw.com 
NO.46010,2020/3/23,TX,Blanco,3/23. Blanco County confirmed its first positive case of COVID-19. According to Blanco County. a female resident in her 60s tested positive for the disease on Saturday after completing drive-through testing as a result of her symptoms. Blanco County says her case is travel-related. and she is recovering at home under self-quarantine.,www.kxan.com 
NO.46011,2020/3/23,MO,Platte,3/23 Health officials in Platte County said they now have the county s first confirmed case of the coronavirus.,www.kctv5.com 
NO.46012-46044,2020/3/23,MA,Middlesex,As of 3/23 MA state official list Middlesex County 232 total.,www.mass.gov 
NO.46045-46072,2020/3/23,MA,Suffolk,As of 3/23 MA state official list Suffolk County 154 total.,www.mass.gov 
NO.46073-46082,2020/3/23,SC,Kershaw,By 3/23 4 35PM EST. 54 cases were tested positive in Kershaw County.,www.thestate.com 
NO.46083,2020/3/23,TX,Galveston,A girl younger than 10 years out of Galveston County old tested positive for coronavirus. health officials confirmed. She is currently self-quarantined. This brings the county s total cases to 18.,www.khou.com 
NO.46084-46097,2020/3/23,SC,Richland,By 3/23 4 35PM EST. 43 cases were tested positive in Richland County.,www.thestate.com 
NO.46098-46104,2020/3/23,MA,Norfolk,As of 3/23 MA state official list Norfolk County 82 total.,www.mass.gov 
NO.46105-46117,2020/3/23,MA,Essex,As of 3/23 MA state official list Essex County 73 total.,www.mass.gov 
NO.46118-46134,2020/3/23,SC,Charleston,By 3/23 4 35PM EST. 31 cases were tested positive in Charleston County.,www.thestate.com 
NO.46135-46146,2020/3/23,SC,Greenville,By 3/23 4 35PM EST. 31 cases were tested positive in Greenville County.,www.thestate.com 
NO.46147,2020/3/23,TX,Harris,The Houston Health Department announces one new case bringing the City of Houston s total to 24.,www.khou.com 
NO.46148,2020/3/23,TX,Montgomery,3/23 A female teenager. 13-19 years old. who resides in Southeast Montgomery County. She is in isolation at her home. She has recent travel to New Orleans.,www.facebook.com 
NO.46149,2020/3/23,KY,Anderson,KY State Anderson County has in total 2 cases of CODIV-19 confirmed by 3/23. with 1 new cases added.,www.kentucky.com 
NO.46150-46154,2020/3/23,MA,Worcester,As of 3/23 MA state official list Worcester County 42 total.,www.mass.gov 
NO.46155-46161,2020/3/23,SC,Beaufort,By 3/23 4 35PM EST. 21 cases were tested positive in Beaufort County.,www.thestate.com 
NO.46162-46166,2020/3/23,SC,Lexington,By 3/23 4 35PM EST. 17 cases were tested positive in Lexington County.,www.thestate.com 
NO.46167-46173,2020/3/23,MA,Plymouth,As of 3/23 MA state official list Plymouth County 32 cases in total.,www.mass.gov 
NO.46174,2020/3/23,TX,Montgomery,3/23 A woman in her 20s. who resides in Northwest Montgomery County. She is in isolation at her home. This is believed to be a case of community spread because she was in close contact with a suspected case.,www.facebook.com 
NO.46175,2020/3/23,TX,Montgomery,3/23 A man in his 50s. who resides in Southwest Montgomery County. He is in isolation at his home. He has recent travel to Chicago. Illinois.,www.facebook.com 
NO.46176,2020/3/23,TX,Montgomery,3/23 A man in his 50s. who resides in Southwest Montgomery County. He is in isolation at his home. He has recent travel to California.,www.facebook.com 
NO.46177-46182,2020/3/23,MA,Barnstable,As of 3/23 MA state official list Barnstable County 30 total.,www.mass.gov 
NO.46183,2020/3/23,TX,Waller,Waller County 1st case. no more detail at this moment.,www.click2houston.com 
NO.46184-46188,2020/3/23,SC,Horry,3/23 Horry County.SC confirmed 16 cases in total.,www.thestate.com 
NO.46189,2020/3/23,MA,Bristol,As of 3/23 MA state official list Bristol County 25 total.,www.mass.gov 
NO.46190-46194,2020/3/23,SC,Anderson,By 3/23 4 35PM EST. 15 cases were tested positive in Anderson County.,www.thestate.com 
NO.46195-46197,2020/3/23,MA,Berkshire,As of 3/23 MA state official list Berkshire County 26 total.,www.mass.gov 
NO.46198-46202,2020/3/23,SC,Orangeburg,By 3/23. 8 cases have been confirmed in Orangeburg.,www.thestate.com 
NO.46203-46205,2020/3/23,MA,Hampden,As of 3/23 MA state official list Hampden County 15 total.,www.mass.gov 
NO.46206-46207,2020/3/23,SC,Darlington,3/23 Darlington County.SC has confirmed 7 cases in total.,www.thestate.com 
NO.46208-46209,2020/3/23,MA,Hampshire,As of 3/23 MA state official list Hampshire County 6 total.,www.mass.gov 
NO.46210-46211,2020/3/23,SC,Lancaster,3/23 Lancaster County.SC has confirmed 7 cases in total.,www.thestate.com 
NO.46212,2020/3/23,TX,Falls,3/23 Falls County 1st case. no more detail at this moment,www.dshs.state.tx.us 
NO.46213-46235,2020/3/23,MA,Unassigned,As of 3/23 MA state official list unknown County cases 57 total. [4 Cases have been confirmed by Franklin County. therefore. the unassigned number from us are less than the one from MA State Officials].,www.mass.gov 
NO.46236-46238,2020/3/23,SC,York,3/23 York County.SC confirmed 3 more cases.,www.thestate.com 
NO.46239-46240,2020/3/23,SC,Berkeley,3/23 Berkeley County.SC confirmed 2 more cases.,www.thestate.com 
NO.46241-46287,2020/3/23,PA,Philadelphia,Philadelphia Health Commissioner Dr. Thomas Farley today announced 79 additional presumptive confirmed cases of COVID-19 novel coronavirus in Philadelphia. That brings the number of confirmed cases to 175. 21 of whom are health care workers. Fourteen of the 175 confirmed cases are currently hospitalized.,www.phila.gov 
NO.46288-46289,2020/3/23,TX,Potter,3/23 Potter County first two cases. no more detail at this moment,www.dshs.state.tx.us 
NO.46290-46293,2020/3/23,SC,Clarendon,3/23 four positive cases have been confirmed in Clarendon County,www.thestate.com 
NO.46294,2020/3/23,SC,Sumter,Sumter County  1 new case,www.thestate.com 
NO.46295-46296,2020/3/23,SC,Florence,2 more cases has been confirmed in Florence County. total 3.,www.thestate.com 
NO.46297-46298,2020/3/23,KY,Kenton,KY State Kenton County has in total 5 cases of CODIV-19 confirmed by 3/23. with 2 new cases added.,www.kentucky.com 
NO.46299-46309,2020/3/23,TX,Bexar,3/23 11 new cases. total 57 cases.,www.sanantonio.gov 
NO.46310,2020/3/23,SC,Spartanburg,Spartanburg  1 new case.,www.thestate.com 
NO.46311,2020/3/23,SC,Dorchester,3/23 one new case got confirmed in Dochester County,www.thestate.com 
NO.46312,2020/3/23,SC,Fairfield,3/23 One new case got confirmed in Fairfield County.,www.thestate.com 
NO.46313,2020/3/23,ID,Cassia,Idaho s tally of people with coronavirus grew again Monday as Cassia County reported its first case,www.idahostatesman.com 
NO.46314-46315,2020/3/23,SC,Georgetown,First two cases got confirmed in Georgetown County.,www.thestate.com 
NO.46316,2020/3/23,KY,Pulaski,KY State Pulaski County has in total 3 cases of CODIV-19 confirmed by 3/23. with 1 new cases added.,www.kentucky.com 
NO.46317-46330,2020/3/23,ID,Blaine,Idaho s tally of people with coronavirus grew again Monday as Blaine County s count grew by 14 reported cases.,www.idahostatesman.com 
NO.46331-46332,2020/3/23,KY,Warren,KY State Warren County has in total 4 cases of CODIV-19 confirmed by 3/23. with 2 new cases added.,www.kentucky.com 
NO.46333-46334,2020/3/23,ID,Bannock,Idaho s tally of people with coronavirus grew again Monday as Bannock County reported its first two cases,www.idahostatesman.com 
NO.46335,2020/3/23,SC,Lee,One new case is confirmed in Lee County.,www.thestate.com 
NO.46336-46337,2020/3/23,SC,Oconee,3/23 Two cases got confirmed in Oconee County.,www.thestate.com 
NO.46338-46342,2020/3/23,FL,Broward,3/23 Borward County reported 5 more cases. and there are in total 263 cases in the county.,fdoh.maps.arcgis.com 
NO.46343-46345,2020/3/23,MO,Clay,Three COVID-19 cases being reported in Clay County. Clay County Public Health Center said the cases consist of one male and one female in their 50s and one woman in her 80s.,fox4kc.com 
NO.46346-46350,2020/3/23,FL,Collier,3/23 Collier County reported 5 more cases. and there are in total 39 cases in the county.,fdoh.maps.arcgis.com 
NO.46351,2020/3/23,TX,Robertson,Robertson County confirms first case of COVID-19. The case is the 18th known positive case of COVID-19 in the Brazos Valley.,www.kbtx.com 
NO.46352-46362,2020/3/23,FL,Miami-Dade,3/23 Miami-Dade County reported 11 more cases. and there are in total 278 cases in the county.,fdoh.maps.arcgis.com 
NO.46363,2020/3/23,MO,Clinton,As of 3/23 MO state official publish. Clinton County total 1 cases.,health.mo.gov 
NO.46364-46367,2020/3/23,FL,Duval,3/23 Duval County reported 4 more cases. and there are in total 50 cases in the county.,fdoh.maps.arcgis.com 
NO.46368,2020/3/23,AL,Baldwin,3/23 AL total 196. Baldwin 3 cases.,www.alabamapublichealth.gov 
NO.46369-46382,2020/3/23,MO,St. Louis,As of 3/23 MO state official publish. St. Louis County total 69 cases.,health.mo.gov 
NO.46383,2020/3/23,AL,Calhoun,3/23 AL total 196. Calhoun 2 cases.,www.alabamapublichealth.gov 
NO.46384,2020/3/23,AL,Franklin,Franklin County 1st case.,www.alabamapublichealth.gov 
NO.46385,2020/3/23,AL,Houston,Houston County 1st case.,www.alabamapublichealth.gov 
NO.46386-46389,2020/3/23,FL,Escambia,3/23 Escambia County reported 4 more cases. and there are in total 9 cases in the county.,fdoh.maps.arcgis.com 
NO.46390-46396,2020/3/23,AL,Jefferson,3/23 AL total 196. Jefferson 86 cases.,www.alabamapublichealth.gov 
NO.46397-46400,2020/3/23,MO,Kansas City,As of 3/23 MO state official publish. Kansas City total 17 cases.,health.mo.gov 
NO.46401-46408,2020/3/23,MO,St. Louis City,As of 3/23 MO state official publish. St. Louis City total 22 cases(including 1 death).,www.stlouis-mo.gov 
NO.46409,2020/3/23,AL,Lauderdale,3/23 AL total 196. Lauderdale 3 cases.,www.alabamapublichealth.gov 
NO.46410-46411,2020/3/23,AL,Lee,3/23 AL total 196. Lee 19 cases.,www.alabamapublichealth.gov 
NO.46412-46413,2020/3/23,FL,Hillsborough,3/23 Hillsborough County reported 2 more cases. and there are in total 75 cases in the county.,fdoh.maps.arcgis.com 
NO.46414-46417,2020/3/23,AL,Madison,3/23 AL total 196. Madison 21 cases.,www.alabamapublichealth.gov 
NO.46418-46456,2020/3/23,WA,Snohomish,WA State Snohomish County has in total 519 cases of CODIV-19 confirmed by 3/23. with 39 new cases added. Among them. 243 patients have been recovered.,www.snohd.org 
NO.46457-46461,2020/3/23,AL,Shelby,3/23 AL total 196. Shelby 22 cases.,www.alabamapublichealth.gov 
NO.46462,2020/3/23,AL,Tallapoosa,Tallapoosa County 1st case.,www.alabamapublichealth.gov 
NO.46463-46464,2020/3/23,MO,Jackson,As of 3/23 MO state official publish. Jackson County total 10 cases.,health.mo.gov 
NO.46465-46466,2020/3/23,FL,Indian River,3/23 Indian River County reported 2 more cases. and there are in total 10 cases in the county.,fdoh.maps.arcgis.com 
NO.46467-46468,2020/3/23,AL,Tuscaloosa,3/23 AL total 196. Tuscaloosa 9 cases.,www.alabamapublichealth.gov 
NO.46469-46470,2020/3/23,AL,Walker,3/23 AL total 196. Walker 3 cases.,www.alabamapublichealth.gov 
NO.46471,2020/3/23,MO,Cole,As of 3/23 MO state official publish. Cole County total 5 cases.,health.mo.gov 
NO.46472-46473,2020/3/23,FL,Lake,3/23 Lake County reported 2 more cases. and there are in total 9 cases in the county.,fdoh.maps.arcgis.com 
NO.46474,2020/3/23,AL,Montgomery,3/23 AL total 196. Montgomery 4 cases.,www.alabamapublichealth.gov 
NO.46475,2020/3/23,MO,St. Charles,As of 3/23 MO state official publish. St. Charles County total 4 cases.,health.mo.gov 
NO.46476,2020/3/23,MO,Lafayette,As of 3/23 MO state official publish. Lafayette County total 1 case.,health.mo.gov 
NO.46477-46478,2020/3/23,FL,Lee,3/23 Lee County reported 2 more cases. and there are in total 30 cases in the county.,fdoh.maps.arcgis.com 
NO.46479,2020/3/23,MO,Taney,As of 3/23 MO state official publish. Taney County total 1 case.,health.mo.gov 
NO.46480,2020/3/23,FL,Leon,3/23 Leon County reported 1 more cases. and there are in total 6 cases in the county.,fdoh.maps.arcgis.com 
NO.46481,2020/3/23,MI,Bay,Second Bay County resident tests positive for coronavirus,www.mlive.com 
NO.46482-46483,2020/3/23,FL,Martin,3/23 Martin County reported 2 more cases. and there are in total 4 cases in the county.,fdoh.maps.arcgis.com 
NO.46484-46491,2020/3/23,NY,Onondaga,Onondaga County coronavirus cases up to 53. meat market employee infected,www.syracuse.com 
NO.46492,2020/3/23,SC,Chester,3/23 One case got confirmed in Chester County,www.wltx.com 
NO.46493-46495,2020/3/23,FL,Orange,3/23 Orange County reported 3 more cases. and there are in total 48 cases in the county.,fdoh.maps.arcgis.com 
